Date,HomeTeam,FTHG,HTHG,HS,HST,HC,HF,HY,HR,AwayTeam,FTAG,HTAG,AS,AST,AC,AF,AY,AR,FTR,HTR,AvgH,AvgD,AvgA,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AvgAHH,AvgAHA,HomePointsBefore,AwayPointsBefore,HomeLeaguePosBefore,AwayLeaguePosBefore,ResultNum
2025-08-01,Schalke 04,2,2,14,6,5,19,7,1,Hertha,1,0,9,3,10,12,1,0,H,H,2.83,3.39,2.33,1.65,2.34,1.59,2.24,1.73,1.96,0.0,0.0,18.0,10.0,2
2025-08-02,Darmstadt,4,2,20,7,5,12,2,0,Bochum,1,1,10,3,8,14,3,0,H,H,2.17,3.54,2.96,1.64,2.29,1.58,2.25,1.85,1.84,0.0,0.0,5.0,3.0,2
2025-08-02,Elversberg,1,0,12,4,2,16,2,0,Nurnberg,0,0,11,4,4,23,3,0,H,D,2.06,3.71,3.08,1.56,2.5,1.51,2.41,1.75,1.95,0.0,0.0,6.0,14.0,2
2025-08-02,Karlsruhe,3,2,13,4,6,17,3,0,Preußen Münster,2,1,11,3,5,17,3,1,H,H,1.87,3.79,3.57,1.75,2.15,1.66,2.11,1.85,1.89,0.0,0.0,12.0,15.0,2
2025-08-02,Paderborn,2,1,9,3,3,13,1,0,Holstein Kiel,1,0,6,2,0,12,3,0,H,H,2.14,3.69,2.91,1.56,2.52,1.53,2.37,1.83,1.86,0.0,0.0,14.0,11.0,2
2025-08-02,Bielefeld,5,1,15,9,8,12,4,0,Fortuna Dusseldorf,1,1,11,3,3,14,4,1,H,D,2.23,3.58,2.83,1.65,2.27,1.62,2.18,1.89,1.81,0.0,0.0,6.0,9.0,2
2025-08-03,Greuther Furth,3,2,10,5,4,8,1,0,Dresden,2,1,21,4,10,11,0,0,H,H,2.17,3.63,2.89,1.63,2.33,1.57,2.27,1.85,1.83,0.0,0.0,9.0,8.0,2
2025-08-03,Hannover,1,0,14,5,5,13,2,0,Kaiserslautern,0,0,9,0,5,14,3,0,H,D,1.9,3.72,3.49,1.67,2.24,1.63,2.17,1.87,1.86,0.0,0.0,9.0,10.0,2
2025-08-03,Magdeburg,0,0,19,3,12,17,4,0,Braunschweig,1,0,9,4,2,11,1,1,A,D,1.8,3.66,3.99,1.72,2.15,1.67,2.09,1.79,1.96,0.0,0.0,10.0,9.0,0
2025-08-08,Nurnberg,0,0,12,3,4,11,2,0,Darmstadt,1,0,14,5,5,15,2,0,A,D,2.77,3.62,2.24,1.62,2.28,1.59,2.23,1.77,1.9,0.0,3.0,16.0,2.0,0
